attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,images_url
216,Pyramid of Djedefre,4.2,77,Tourist attraction,Ruined ancient site atop a rocky plateau,30.0322618,31.0747136,giza,Tourist attraction Ruined ancient site atop a rocky plateau,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1ftL4kmeMgQXOzguIZvWrsIQEU7n_BbST6prIJyxzxNl3eWqjzQhiG97F5uY&s
217,Zoological Museum,4.7,181,Museum,Speciality Museums zoolgy,30.02076773,31.21492436,giza,Museum Speciality Museums zoolgy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZoB8ypZNBZt8hQzPYuivUWpxqLm_AQcKkXx_hGsnWay7WllATpvC0QzCxNLw&s
218,Picasso Art Gallery,4.6,311,Art Gallery,"Pablo picasso, art and painting",30.0615061,31.22242,cairo,"Art Gallery Pablo picasso, art and painting",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTow33TJASBoM4eBhcvuv_YKA6h1i6k80Z2_wGQalnOHxsdl1Q9J9N5tYMguWc&s
219,Maadi Island,4.2,"8,124",Garden,,29.9657957,31.2393105,cairo,Garden ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtD3eZnvpcold8J1jCMAQ6u0kEO5gl1VD01xALVu3BsEZKY3ui1JVIYwN8DA&s
220,Pyramid of Neferirkare,4.4,29,Tourist attraction,Ancient memorial & temple complex Historic Sites,29.8950932,31.2022488,giza,Tourist attraction Ancient memorial & temple complex Historic Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAR831Jvz9iyTGC_BxEydK9M1YaOQyeJ4N7bkNLTUFxqHgdD8W7ubXBTxEIw&s
221,Unfinished Pyramid,3.9,36,Historical landmark,Ancient egypt and ancient history Historic Sites,29.9402081,31.1514898,giza,Historical landmark Ancient egypt and ancient history Historic Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnkMEF3nBovZ9WXM6yORPJ6g9eBbxIUqLHkJIWsbfNb1M9fiu0nGQcIXq5gA&s
222,Topaz Bazaar,4.5,125,Bazar,Shopping Tours,29.9849193,31.1432103,giza,Bazar Shopping Tours,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTYBGiVOVFEoqq00VVb4yCQHKG6dfWi2iaAhIlDgxsABfYYenznx1p8lV-hg&s
223,Al Horreya Garden,4.2,"4,063",Garden,Palms & statues in riverside green space Botanical,30.0414695,31.2257914,cairo,Garden Palms & statues in riverside green space Botanical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB1loPsWDXhXQIRlBIpWOjV5G9PQLIXxB34m0XfD90S8NqfesyTCS1wM_tJQ&s
224,Zamalek Art Gallery,4.6,270,Art Gallery,Art Galleries,30.0613676,31.2229587,cairo,Art Gallery Art Galleries,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpB4CZ7x-n_4nUevPoUymxtI83oDT-WAelBaDAQ01YLHG-pRnC48WMeNnO0T0&s
225,Al-Nasser Mohammed Ibn Kalawoun,4.7,318,Mosque,Religious Sites,30.0292077,31.2608701,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9GbYjtr1Ym06YsLxzUmHhHCLgiEkEKhtO4WGXVLk4qjywJqLqUbg0dk06xw&s
226,El Andalos Park,4.1,810,Park,Moorish-style water feature & statues,30.0442019,31.2274082,cairo,Park Moorish-style water feature & statues,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZUaLFfchmXTR6hTClVDzvnU9KN5uYPQmk3TE4xFFx52gbWK6iHm8fEJnwcw&s
227,Islamic Ceramics Museum,3.9,64,Museum,Art Museums,30.0571741,31.2226481,cairo,Museum Art Museums,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKPTlKZvkabdSfj3-wekxToS9F4_rtwAD6IGDu97hejj9ZUdjxa8pUk4mETOo&s
228,Al-Roda Nilometer,4.5,572,Historical landmark,,30.0069673,31.2250006,cairo,Historical landmark ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgwd3L3ko9HLrA77WhylF1xjNiTIo6tr-P6eCdr46LtEgmsObJ-dWiWCVYAxQ&s
229,National Police Museum,3.9,98,Museum,Speciality Museums,30.03083534,31.25991996,cairo,Museum Speciality Museums,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyGZC_Kir9pddzR1zXA7TBV2kOMk6_PfY4i1V0MsFHbOa3hnQMn-jB1g-WDrE&s
230,Karmet Ibn Hanie Cultural Center Ahmed Shawky Museum,4.3,164,Museum,,30.0212625,31.2174341,cairo,Museum ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqtfNMR5kFi26m8A08OsrGtVEw5HLn2uvLqjVhpBsBd9F5G9cqw2A9h3D-tg&s
231,Pyramids of Queens,4.6,386,Historical landmark,Ancient temples at Giza necropolis,29.9715717,31.1279886,giza,Historical landmark Ancient temples at Giza necropolis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJAXRoUppq_Ar9UAp9Xf0EX_VzQQ__TeoyXtU936-Zis1nvR8apxnx_aRozg&s
232,Safari Park,4.1,"11,594",Park,"Ferris wheel, pony rides & boating",30.07566311,31.19166542,giza,"Park Ferris wheel, pony rides & boating",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREZhH0W56d4rnAxaN9dGY2Ls3hErXYfjQfEpJJbNzeJudOLrXaCnkJzH9mIEs&s
233,Geographical Association of Egypt,4.4,75,Museum,,30.041119,31.2360473,cairo,Museum ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqKZldQfyLoxluMUtXS9iU8cGyJmOBJuKNHbS1L18ZfyNNkNwHJLA36-fwoQ&s
